Dataset:      Vertical 3He, Q2=0.1
Runs:   20487-20511
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20487 270 58 19432 18271 128515 123302 121064 114931 45.562400000000025 45.562400000000025 699.99999999999989
20488 241 146 26848 10654 179449 70372 167995 65832 45.562400000000025 45.562400000000025 699.99999999999989
20489 431 150 24889 13015 164457 86059 153984 81192 45.562400000000025 45.562400000000025 699.99999999999989
20490 234 132 15440 21858 101541 147100 95400 138714 45.562400000000025 45.562400000000025 699.99999999999989
20491 290 287 15073 22514 99326 149598 93096 141505 45.562400000000025 45.562400000000025 699.99999999999989
20492 363 145 17947 19448 119034 129290 111970 122027 45.562400000000025 45.562400000000025 699.99999999999989
20493 347 93 27485 9976 181566 66560 170983 61864 45.562400000000025 45.562400000000025 699.99999999999989
20494 130 196 11946 25452 79823 169514 74877 158992 45.562400000000025 45.562400000000025 699.99999999999989
20498 377 210 19063 18623 125591 123771 117787 116154 45.562400000000025 45.562400000000025 699.99999999999989
20499 121 393 9741 27727 64968 182281 61417 172623 45.562400000000025 45.562400000000025 699.99999999999989
20500 341 129 15451 22099 100866 148242 95135 138998 45.562400000000025 45.562400000000025 699.99999999999989
20501 505 73 26981 9507 177008 64065 166858 60154 45.562400000000025 45.562400000000025 699.99999999999989
20502 502 102 21216 16411 138631 108962 130799 103449 45.562400000000025 45.562400000000025 699.99999999999989
20503 270 183 16457 20999 109497 139290 102866 131437 45.562400000000025 45.562400000000025 699.99999999999989
20504 290 144 19369 17982 128246 121278 120274 113600 45.562400000000025 45.562400000000025 699.99999999999989
20505 456 175 16266 19801 107193 132302 100467 123559 45.562400000000025 45.562400000000025 699.99999999999989
20506 582 176 25019 12505 164053 83105 154708 78195 45.562400000000025 45.562400000000025 699.99999999999989
20507 539 328 25917 11854 170789 77246 160173 72547 45.562400000000025 45.562400000000025 699.99999999999989
20508 83 210 4364 23924 29327 159363 27525 149484 45.562400000000025 45.562400000000025 699.99999999999989
20509 0 0 0 0 0 0 0 0 45.562400000000025 45.562400000000025 699.99999999999989
20510 0 0 0 0 0 0 0 0 45.562400000000025 45.562400000000025 699.99999999999989
20511 0 0 0 0 0 0 0 0 45.562400000000025 45.562400000000025 699.99999999999989
