Dataset:      Vertical 3He, Q2=0.5
Runs:   20890-21006
Run #	Bin3Up	Bin3Down	Tup	Tdn	BGLup	BGLdn	BGRup	BGRdn	RSup	RSdn	RBG
20965 4896 4262 13842 14546 101784 117187 93118 107523 27.355999999999995 27.355999999999995 699.99999999999989
20966 4355 4316 13307 15716 101860 130007 93372 118650 27.355999999999995 27.355999999999995 699.99999999999989
20967 4854 4378 15045 14500 116175 114898 106139 106132 27.355999999999995 27.355999999999995 699.99999999999989
20968 5167 3962 16369 13049 127374 103583 116950 95013 27.355999999999995 27.355999999999995 699.99999999999989
20969 5100 3932 15426 13919 116739 113802 108257 104352 27.355999999999995 27.355999999999995 699.99999999999989
20971 5350 3691 16198 13144 123367 107625 113151 98577 27.355999999999995 27.355999999999995 699.99999999999989
20972 5184 4136 15594 14018 118608 112160 108757 103555 27.355999999999995 27.355999999999995 699.99999999999989
20973 5595 3449 17832 11438 140018 91053 127614 83934 27.355999999999995 27.355999999999995 699.99999999999989
20975 5534 3736 17144 12277 131905 97524 120909 88900 27.355999999999995 27.355999999999995 699.99999999999989
20976 4957 4067 15481 13814 119933 110731 109936 101419 27.355999999999995 27.355999999999995 699.99999999999989
20977 4497 4901 13284 16310 100037 129708 91350 119162 27.355999999999995 27.355999999999995 699.99999999999989
20978 1495 1145 4612 3962 35680 32239 32374 29235 27.355999999999995 27.355999999999995 699.99999999999989
20979 5294 3563 16490 12548 127301 102412 116599 93237 27.355999999999995 27.355999999999995 699.99999999999989
20980 293 3650 878 12155 6790 96746 6175 89053 27.355999999999995 27.355999999999995 699.99999999999989
20982 4926 3975 15423 13692 119723 110363 109244 101541 27.355999999999995 27.355999999999995 699.99999999999989
20983 889 308 3682 1472 32026 13330 29198 12109 27.355999999999995 27.355999999999995 699.99999999999989
20984 808 0 3817 0 34854 0 30852 0 27.355999999999995 27.355999999999995 699.99999999999989
20985 0 654 0 3669 0 34822 0 31190 27.355999999999995 27.355999999999995 699.99999999999989
20986 387 401 1860 1991 16938 18214 15329 16586 27.355999999999995 27.355999999999995 699.99999999999989
20988 875 0 3884 0 34766 0 31092 0 27.355999999999995 27.355999999999995 699.99999999999989
20989 74 571 260 3358 2163 32197 1959 28788 27.355999999999995 27.355999999999995 699.99999999999989
20990 0 732 0 4116 0 38904 0 34890 27.355999999999995 27.355999999999995 699.99999999999989
20991 573 234 2673 1527 24026 15019 21894 13465 27.355999999999995 27.355999999999995 699.99999999999989
20992 709 0 4090 0 39065 0 35081 0 27.355999999999995 27.355999999999995 699.99999999999989
20993 0 739 0 4321 0 41275 0 37168 27.355999999999995 27.355999999999995 699.99999999999989
20994 845 9 4376 24 40892 175 36836 152 27.355999999999995 27.355999999999995 699.99999999999989
20995 4760 4284 14669 14658 112382 118003 104022 108187 27.355999999999995 27.355999999999995 699.99999999999989
21001 1962 2051 5793 7316 43605 60087 39664 54847 27.355999999999995 27.355999999999995 699.99999999999989
21002 5078 4009 15866 13438 122790 107723 112495 98096 27.355999999999995 27.355999999999995 699.99999999999989
21003 1889 2390 5510 8615 41041 70976 38051 64977 27.355999999999995 27.355999999999995 699.99999999999989
21004 5111 4113 15368 14046 117129 112983 107320 103635 27.355999999999995 27.355999999999995 699.99999999999989
21005 5551 3577 16507 12859 124900 105268 114075 97099 27.355999999999995 27.355999999999995 699.99999999999989
21006 4865 4141 14372 14428 108110 117002 98815 107655 27.355999999999995 27.355999999999995 699.99999999999989
