Dataset:	Vertical 3He, Q2=0.1
Runs:	20487-20511
NuBin TotalUp TotalDown Bin1Up Bin1Down Bin2Up Bin2Down Bin3Up Bin3Down Bin4Up Bin4Down
0.0040000000000000001 11800 5680 683549 675530 4517103 4501183 4243634 4234154 45.562400000000025 45.562400000000025 699.99999999999989
0.017500000000000002 115 0 3256 3047 21442 20844 19638 19750 45.562400000000025 45.562400000000025 699.99999999999989
0.050000000000000003 1422 1064 158461 157198 1054747 1051104 991214 988664 45.562400000000025 45.562400000000025 699.99999999999989
0.080000000000000002 6193 2983 333885 330115 2205827 2198595 2072670 2067062 45.562400000000025 45.562400000000025 699.99999999999989
0.11 4201 2096 187947 185169 1235084 1230639 1160112 1158678 45.562400000000025 45.562400000000025 699.99999999999989
0.064000000000000001 1443 436 107977 106636 715526 712368 672283 670437 45.562400000000025 45.562400000000025 699.99999999999989
0.075999999999999998 1882 785 136331 135201 906203 902992 852491 848452 45.562400000000025 45.562400000000025 699.99999999999989
0.087999999999999995 2880 1328 137223 135390 901277 897874 845719 845379 45.562400000000025 45.562400000000025 699.99999999999989
0.10000000000000001 2480 1452 117901 116594 777167 775077 729544 727348 45.562400000000025 45.562400000000025 699.99999999999989
0.11199999999999999 1892 685 80793 79131 528107 525970 496434 496631 45.562400000000025 45.562400000000025 699.99999999999989
0.124 0 0 0 0 1 1 0 1 45.562400000000025 45.562400000000025 699.99999999999989
